file	function	option_name	values_seen	branch_evidence_lines	state_mutation	ayanamsa_touchpoint	anchor_id
src/jhora/horoscope/dhasa/graha/dwadasottari.py	get_dhasa_bhukthi	dhasa_starting_planet	parameter_only	L110,L146	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/dwadasottari.py	get_dhasa_bhukthi	divisional_chart_factor	parameter_only	L110,L145	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/dwadasottari.py	get_dhasa_bhukthi	include_antardhasa	truthy/falsy	L109,L151	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/dwadasottari.py	get_dhasa_bhukthi	seed_star	parameter_only	L110,L146	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/dwadasottari.py	get_dhasa_bhukthi	star_position_from_moon	parameter_only	L109,L144	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/dwadasottari.py	get_dhasa_bhukthi	use_tribhagi_variation	truthy/falsy	L109,L141	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/dwisatpathi.py	_antardhasa	antardhasa_option	1,3,4,5,6	L58,L60,L62,L64	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/dwisatpathi.py	_dhasa_start	dhasa_starting_planet	1,const._ascendant_symbol	L71,L78,L80,L82,L85,L88,L91,L94,L97,L102	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/dwisatpathi.py	_dhasa_start	divisional_chart_factor	parameter_only	L70,L76,L83,L86,L89,L92,L95,L98	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/dwisatpathi.py	_dhasa_start	seed_star	parameter_only	L71	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/dwisatpathi.py	_dhasa_start	star_position_from_moon	parameter_only	L70	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/dwisatpathi.py	_get_dhasa_dict	seed_star	parameter_only	L42	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/dwisatpathi.py	_maha_dhasa	seed_star	parameter_only	L55	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/dwisatpathi.py	get_dhasa_bhukthi	antardhasa_option	parameter_only	L113	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/dwisatpathi.py	get_dhasa_bhukthi	dhasa_starting_planet	parameter_only	L113,L149	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/dwisatpathi.py	get_dhasa_bhukthi	divisional_chart_factor	parameter_only	L113,L148	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/dwisatpathi.py	get_dhasa_bhukthi	include_antardhasa	truthy/falsy	L112,L154	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/dwisatpathi.py	get_dhasa_bhukthi	seed_star	parameter_only	L113,L149	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/dwisatpathi.py	get_dhasa_bhukthi	star_position_from_moon	parameter_only	L112,L147	local_recompute	none	DS900
